 |name|stars|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14
|Greydwarf|0|0.95|0.03|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|1|0.95|0.04|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|2|0.94|0.05|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|3|0.93|0.05|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|4|0.92|0.06|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|5|0.92|0.06|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|6|0.91|0.08|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|7|0.89|0.09|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|8|0.89|0.1|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|9|0.88|0.1|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Greydwarf|10|0.87|0.11|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|0|0.92|0.07|0.01|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|1|0.86|0.12|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|2|0.84|0.14|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|3|0.74|0.23|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|4|0.65|0.32|0.03|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|5|0.51|0.44|0.05|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|6|0.4|0.54|0.07|0|0|0|0|0|0|0|0|0|0|0|0
|Wolf|7|0.22|0.66|0.11|0.01|0|0|0|0|0|0|0|0|0|0|0
|Wolf|8|0.11|0.7|0.18|0.01|0|0|0|0|0|0|0|0|0|0|0
|Wolf|9|0.09|0.7|0.2|0.01|0|0|0|0|0|0|0|0|0|0|0
|Wolf|10|0.03|0.63|0.32|0.02|0|0|0|0|0|0|0|0|0|0|0
|Troll|0|0.9|0.09|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Troll|1|0.81|0.17|0.02|0|0|0|0|0|0|0|0|0|0|0|0
|Troll|2|0.7|0.28|0.03|0|0|0|0|0|0|0|0|0|0|0|0
|Troll|3|0.6|0.37|0.04|0|0|0|0|0|0|0|0|0|0|0|0
|Troll|4|0.45|0.49|0.06|0|0|0|0|0|0|0|0|0|0|0|0
|Troll|5|0.11|0.7|0.19|0.01|0|0|0|0|0|0|0|0|0|0|0
|Troll|6|0|0.32|0.6|0.08|0|0|0|0|0|0|0|0|0|0|0
|Troll|7|0|0.05|0.65|0.28|0.01|0|0|0|0|0|0|0|0|0|0
|Troll|8|0|0.02|0.54|0.42|0.03|0|0|0|0|0|0|0|0|0|0
|Troll|9|0|0.01|0.43|0.52|0.04|0|0|0|0|0|0|0|0|0|0
|Troll|10|0|0|0.2|0.67|0.13|0|0|0|0|0|0|0|0|0|0
